Date,AAPL,MSFT,NVDA,TSLA,^GSPC
2023-03-29,51305700,25087000,393694000,123660000,4145250000
2023-03-30,49501700,25053400,364516000,110252200,3930860000
2023-03-31,68749800,32766000,433933000,170222100,4525120000
2023-04-03,56976200,24883300,398716000,169545900,4234700000
2023-04-04,46278300,25824300,368592000,126463800,4227800000
2023-04-05,51511700,22064800,515015000,133882500,3968020000
2023-04-06,45390100,29770300,397654000,123857900,3486690000
2023-04-10,47716900,23103000,395279000,142154600,3423650000
2023-04-11,47644200,27276600,314378000,115770900,3665830000
2023-04-12,50133100,27403400,446259000,150256300,3633120000
2023-04-13,68445600,24222700,353615000,112933000,3596590000
2023-04-14,49386500,20987900,395660000,96438700,3575690000
2023-04-17,41516200,23836200,321471000,116662200,3611180000
2023-04-18,49923000,20161800,604812000,92067000,3536640000
2023-04-19,47720200,17150300,358660000,125732700,3572560000
2023-04-20,52456400,23244400,427713000,210970800,3772080000
2023-04-21,58337300,21676400,345103000,123539000,3611750000
2023-04-24,41949600,26611000,339282000,140006600,3290940000
2023-04-25,48714100,45772200,378527000,121999300,3978640000
2023-04-26,45498800,64599200,406337000,153364100,3837030000
2023-04-27,64902300,46462600,377161000,127015200,3750550000
2023-04-28,55275900,36469600,292216000,122515800,4087800000
2023-05-01,52472900,21294100,570329000,109015000,3321370000
2023-05-02,48425700,26404400,402730000,128259700,4486130000
2023-05-03,65136000,22360800,383387000,119728000,4246510000
2023-05-04,81235400,22519900,321850000,95108500,4920090000
2023-05-05,113453200,28197100,361494000,107607300,4186270000
2023-05-08,55962800,21318600,344979000,112249400,3641640000
2023-05-09,45326900,21340800,314869000,88965000,3810140000
2023-05-10,53724500,30078000,369350000,119840700,4057160000
2023-05-11,49514700,31680200,322149000,103889900,3752900000
2023-05-12,45533100,19774700,274222000,157849600,3533740000
2023-05-15,37266700,16336500,293926000,105592500,3562170000
2023-05-16,42110300,26730300,449405000,98288800,3654200000
2023-05-17,57951600,24315000,432535000,125473600,4039080000
2023-05-18,65496700,27276000,748725000,109520300,3980500000
2023-05-19,55809500,27546700,473908000,136196700,4041900000
2023-05-22,43570900,24115700,372000000,132001400,3728520000
2023-05-23,50747300,30797200,356253000,156952100,4155320000
2023-05-24,45143500,23384900,721419000,137605100,0
2023-05-25,56058300,43301700,1543911000,96870700,4147760000
2023-05-26,54835000,36630600,714397000,162061500,3715460000
2023-05-30,55964400,29503100,923401000,128818700,4228510000
2023-05-31,99625300,45950600,1002580000,150711700,5980670000
2023-06-01,68901800,26773900,635873000,148029900,4391860000
2023-06-02,61996900,25873800,482731000,164398400,4454200000
2023-06-05,121946500,21307100,396094000,151143100,3813290000
2023-06-06,64848400,20396200,388729000,146911600,3996560000
2023-06-07,61944600,40717100,511998000,185710800,4537800000
2023-06-08,50214900,23277700,417772000,164489700,3826740000
2023-06-09,48900000,22529000,427717000,200242400,3786510000
2023-06-12,54274900,24260300,388701000,150337900,3945670000
2023-06-13,54929100,22951300,613208000,162384300,4275400000
2023-06-14,57462900,26003800,740465000,170575500,4252110000
2023-06-15,65433200,38899100,568622000,160171200,4176690000
2023-06-16,101256200,46552000,655709000,167915600,6848600000
2023-06-20,49799100,26375400,451153000,165611200,4055790000
2023-06-21,49515700,25117800,551603000,211797100,3709330000
2023-06-22,51245300,23556800,417737000,166875900,3511000000
2023-06-23,53117000,23146900,358140000,177460800,6053620000
2023-06-26,48088700,21520600,594322000,179990600,3415030000
2023-06-27,50730800,24354100,462175000,164968200,3573500000
2023-06-28,51216800,20259500,582639000,159770800,3739330000
2023-06-29,46347300,16997000,380514000,131283400,3696660000
2023-06-30,85213200,26832800,501148000,112620800,3923450000
2023-07-03,31458200,12508700,198209000,119685900,2034280000
2023-07-05,46920300,18172400,323618000,131530900,3482620000
2023-07-06,45094300,28161200,303582000,120332100,3682020000
2023-07-07,46815000,21214800,355881000,113879200,3630480000
2023-07-10,59922200,32791400,353908000,119425400,3429600000
2023-07-11,46638100,26698200,298244000,91972400,3624220000
2023-07-12,60750200,29995300,481277000,95672100,3920290000
2023-07-13,41342300,20567200,478204000,112681500,3839530000
2023-07-14,41616200,28352700,772075000,120062400,3647450000
2023-07-17,50520200,20363900,510488000,131569600,3538240000
2023-07-18,48288200,64738600,569164000,112120300,4090010000
2023-07-19,80507300,39732900,427502000,142355400,4115670000
2023-07-20,59581200,33778400,537865000,175158300,3761770000
2023-07-21,71951700,69405400,963769000,161796100,3570190000
2023-07-24,45377800,26678100,382516000,136508500,3856250000
2023-07-25,37283200,41637700,348081000,112757300,3812470000
2023-07-26,47471900,58383700,364237000,95856200,3990290000
2023-07-27,47460200,39635300,455976000,103697300,4553210000
2023-07-28,48291400,28484900,331194000,111446000,3981010000
2023-07-31,38824100,25446000,251055000,84582200,4503600000
2023-08-01,35175100,18311900,237858000,83166000,4042370000
2023-08-02,50389300,27761300,530142000,101752900,4270710000
2023-08-03,61235200,18253700,324176000,97569100,4149120000
2023-08-04,115956800,23741500,362666000,99539900,4143310000
2023-08-07,97576100,17741500,322154000,111097900,3493920000
2023-08-08,67823000,22327600,353843000,96642200,3884910000
2023-08-09,60378500,22373300,586449000,101596300,3803100000
2023-08-10,54686900,20113700,492705000,109498600,4504370000
2023-08-11,52036700,24355500,533085000,99038600,3753290000
2023-08-14,43675600,18836100,690286000,98595300,3896410000
2023-08-15,43622600,16966300,676512000,88197600,3832250000
2023-08-16,46964900,20698900,527451000,112484500,3753910000
2023-08-17,66062900,21257200,452395000,120718400,3943700000
2023-08-18,61172200,24755000,583768000,136276600,3940400000
2023-08-21,46311900,24040000,692573000,135702700,3726850000
2023-08-22,42038900,16084600,755293000,130442800,3522760000
2023-08-23,52722800,21166400,779046000,101077600,3837270000
2023-08-24,54945800,23281400,1156044000,99777400,3723470000
2023-08-25,51449600,21684100,925341000,106612200,3296180000
2023-08-28,43820700,14808500,685192000,107673700,2957230000
2023-08-29,53003900,19284600,701397000,134047600,3354820000
2023-08-30,60813900,15222100,735206000,121988400,3064110000
2023-08-31,60794500,26411000,528570000,108861700,3946360000
2023-09-01,45766500,14942000,463830000,132541600,3246260000
2023-09-05,45280000,18553900,382653000,129469600,3526250000
2023-09-06,81755800,17535800,468670000,116959800,3418850000
2023-09-07,112488800,18381000,433330000,115312900,3763760000
2023-09-08,65551300,19530100,473069000,118367700,3259290000
2023-09-11,58953100,16583300,473966000,174667900,3369920000
2023-09-12,90370200,17565500,349256000,135999900,3435740000
2023-09-13,84267900,16544400,398355000,111673700,3529430000
2023-09-14,60895800,20267000,370097000,107709800,3648720000
2023-09-15,109259500,37679800,506831000,133692300,6932230000
2023-09-18,67257600,16834200,500271000,101543300,3161230000
2023-09-19,51826900,16505900,373064000,103704000,3614880000
2023-09-20,58436200,21436500,367108000,122514600,3308450000
2023-09-21,63149100,35560400,450736000,119951500,3662340000
2023-09-22,56725400,21447900,479236000,127524100,3349570000
2023-09-25,46172700,17836000,419091000,104636600,3195650000
2023-09-26,64588900,26297600,402282000,101993600,3472340000
2023-09-27,66921800,19410100,444935000,136597200,3875880000
2023-09-28,56294400,19683600,424663000,117058900,3846230000
2023-09-29,51861100,24147300,397830000,128522700,3865960000
2023-10-02,52164500,20570000,433298000,123810400,3938660000
2023-10-03,49594600,21033500,470850000,101985300,3953830000
2023-10-04,53020300,20720100,361821000,129721600,3777600000
2023-10-05,48527900,16965600,393483000,119159200,3581470000
2023-10-06,57266700,25673600,434436000,118121800,3902030000
2023-10-09,42390800,19891200,409675000,101377900,3174630000
2023-10-10,43698000,20557100,368582000,122656000,3520240000
2023-10-11,47551100,20063200,378137000,103706300,3601660000
2023-10-12,56743100,19313100,481325000,111508100,3713140000
2023-10-13,51427100,21072400,474115000,102073800,3566560000
2023-10-16,52517000,22158000,375099000,88917200,3409960000
2023-10-17,57549400,18338500,812333000,93562900,3794850000
2023-10-18,54764400,23153600,627294000,125147800,3686030000
2023-10-19,59302900,25052100,501233000,170772700,3969730000
2023-10-20,64244000,25027700,477266000,138010100,4004030000
2023-10-23,55980100,24374700,478530000,150683400,3776100000
2023-10-24,43816600,31153600,401463000,118231100,3821820000
2023-10-25,57157000,55053800,398379000,107065100,3869370000
2023-10-26,70625300,37828500,541001000,115112600,4277640000
2023-10-27,58499100,29856500,416784000,94881200,4019500000
2023-10-30,51131000,22828100,388028000,136448200,3911140000
2023-10-31,44846000,20265300,517969000,118068300,4249470000
2023-11-01,56934900,28158800,437593000,121661700,4224900000
2023-11-02,77334800,24348100,409172000,125987600,4669780000
2023-11-03,79829200,23637700,424610000,119534800,4570960000
2023-11-06,63841300,23828300,400733000,117335800,3656340000
2023-11-07,70530000,25833900,343165000,116900100,3791230000
2023-11-08,49340300,26767800,346719000,106584800,3729510000
2023-11-09,53763500,24847300,540496000,142110500,3900780000
2023-11-10,66133400,28042100,421245000,130994000,3665080000
2023-11-13,43627500,19986500,384136000,140447600,3326240000
2023-11-14,60108400,27683900,416954000,149771600,4700350000
2023-11-15,53790500,26860100,475497000,150354000,4347170000
2023-11-16,54412900,27182300,339756000,136816800,3964520000
2023-11-17,50922700,40157000,325205000,142532800,3777240000
2023-11-20,46505100,52465100,414120000,116320100,3644790000
2023-11-21,38134500,28423100,565747000,122288000,3511080000
2023-11-22,39617700,23345300,899420000,117950600,3042810000
2023-11-24,24048300,10176600,294645000,65125200,1639500000
2023-11-27,40552600,22179200,395662000,112031800,3403990000
2023-11-28,38415400,20453100,401491000,148549900,3586240000
2023-11-29,43014200,28963400,382005000,135401300,4418760000
2023-11-30,48794400,30554400,526247000,132353200,5399300000
2023-12-01,45704800,33040500,369317000,121331700,4397120000
2023-12-04,43389500,32063300,437543000,104099800,4369910000
2023-12-05,66628400,23065000,371718000,137971100,3909950000
2023-12-06,41089700,21182100,380590000,126436200,4245680000
